Index,DigiKey Part #,Manufacturer Part Number,Manufacturer,Description,Quantity,Unit Price,Extended Price
1,819-1007-ND,MR0A16AYS35,Everspin Technologies Inc.,IC RAM 1MBIT PARALLEL 44TSOP2,1,$16.12 ,$16.12 
2,296-12358-1-ND,SN74LV240APWR,Texas Instruments,IC BUFFER INVERT 5.5V 20-TSSOP,2,$0.85 ,$1.70 
3,1727-5965-1-ND,74HC86PW,Nexperia USA Inc.,IC GATE XOR 4CH 2-INP 14TSSOP,4,$0.23 ,$0.92 
4,296-18578-1-ND,SN74LVC1G123DCUR,Texas Instruments,IC MMV 1-CIR 18.5-NS 8-VSSOP,4,$0.37 ,$1.48 
5,74LCX38MTCXCT-ND,74LCX38MTCX,OnSemi,IC GATE NAND 4CH 2-INP 14TSSOP,5,$0.35 ,$1.75 
6,296-1187-1-ND?,SN74HC00DR?,Texas Instruments,IC GATE NAND 4CH 2-INP 14SOIC,1,$0.23 ,$0.23 
1,311-3954-1-ND,CC0603JRNPO8BN330,Yageo,CAP CER 33PF 25V C0G/NPO 0603,2,$0.10 ,$0.20 
2,478-06033C681K4Z2ACT-ND,06033C681K4Z2A,Kyocera AVX,CAP CER 680PF 25V X7R 0603,2,$0.10 ,$0.20 
3,A100889CT-ND ,5-87623-4,TE Connectivity,SLT connector pins,72,$0.65 ,$46.64 
4,399-C0603C104K3RACTUCT-ND,C0603C104K3RACTU,Kemet,CAP CER 0.1UF 25V X7R 0603,17,$0.03 ,$0.44 
5,RMCF0603FT1K00CT-ND,RMCF0603FT1K00,Stackpole Electronics Inc,RES 1K OHM 1% 1/10W 0603,4,$0.10 ,$0.40 
6,497-17239-1-ND,LDL1117S33R,STM Microelectronics,IC REG LINEAR 3.3V 1.2A SOT-223,1,$0.36 ,$0.36 
7,1276-1066-1-ND,CL21B105KAFNNNE,Samsung,CAP CER 1UF 25V X7R 0805,1,$0.08 ,$0.08 
8,587-2990-1-ND,TMK212AB7475KG,Tayo Yuden,CAP CER 4.7UF 25V X7R 0805,1,$0.23 ,$0.23 
9,P33KBSCT-ND,ERA-6ARW333V,Panasonic,RES SMD 33K OHM 0.05% 1/8W 0805,1,$0.48 ,$0.48 
10,P47KDACT-ND,ERA-6AEB473V,Panasonic,RES SMD 47K OHM 0.1% 1/8W 0805,1,$0.10 ,$0.10 
11,,,,,1,$0.00 ,$0.00 
12,,,,,1,$0.00 ,$0.00 
13,,,,,1,$0.00 ,$0.00 
14,,,,,1,$0.00 ,$0.00 
15,,,,,1,$0.00 ,$0.00 
16,,,,,1,$0.00 ,$0.00 
17,,,,,1,$0.00 ,$0.00 
18,,,,,1,$0.00 ,$0.00 
,,,,Fedex Digikey shipments,5,$6.99 ,$34.95 
,,,,tax,,,$4.99 
,,,,PCB,0.2,150,$30.00 
,,,,,,subtotal,$141.27 
